Date, Open , High , Low , Close , Adj Close , Volume 
1/2/1987, 439.53 , 439.53 , 439.53 , 439.53 , 439.42 , -   
1/5/1987, 455.23 , 455.23 , 455.23 , 455.23 , 455.11 , -   
1/6/1987, 462.26 , 462.26 , 462.26 , 462.26 , 462.14 , -   
1/7/1987, 462.50 , 462.50 , 462.50 , 462.50 , 462.38 , -   
1/8/1987, 483.02 , 483.02 , 483.02 , 483.02 , 482.90 , -   
1/9/1987, 503.53 , 503.53 , 503.53 , 503.53 , 503.40 , -   
1/12/1987, 515.33 , 515.33 , 515.33 , 515.33 , 515.20 , -   
1/13/1987, 496.47 , 496.47 , 496.47 , 496.47 , 496.34 , -   
1/14/1987, 497.11 , 497.11 , 497.11 , 497.11 , 496.98 , -   
1/15/1987, 474.41 , 474.41 , 474.41 , 474.41 , 474.29 , -   
1/16/1987, 479.94 , 479.94 , 479.94 , 479.94 , 479.82 , -   
1/19/1987, 493.48 , 493.48 , 493.48 , 493.48 , 493.35 , -   
1/20/1987, 493.06 , 493.06 , 493.06 , 493.06 , 492.93 , -   
1/21/1987, 466.01 , 466.01 , 466.01 , 466.01 , 465.89 , -   
1/22/1987, 480.58 , 480.58 , 480.58 , 480.58 , 480.46 , -   
1/23/1987, 466.17 , 466.17 , 466.17 , 466.17 , 466.05 , -   
1/26/1987, 456.52 , 456.52 , 456.52 , 456.52 , 456.40 , -   
1/27/1987, 485.41 , 485.41 , 485.41 , 485.41 , 485.29 , -   
1/28/1987, 501.68 , 501.68 , 501.68 , 501.68 , 501.55 , -   
1/29/1987, 524.58 , 524.58 , 524.58 , 524.58 , 524.45 , -   
1/30/1987, 521.64 , 521.64 , 521.64 , 521.64 , 521.51 , -   
2/2/1987, 521.64 , 521.64 , 521.64 , 521.64 , 521.51 , -   
2/3/1987, 523.85 , 523.85 , 523.85 , 523.85 , 523.72 , -   
2/4/1987, 521.97 , 521.97 , 521.97 , 521.97 , 521.84 , -   
2/5/1987, 528.93 , 528.93 , 528.93 , 528.93 , 528.79 , -   
2/6/1987, 533.40 , 533.40 , 533.40 , 533.40 , 533.26 , -   
2/9/1987, 536.51 , 536.51 , 536.51 , 536.51 , 536.37 , -   
2/10/1987, 524.67 , 524.67 , 524.67 , 524.67 , 524.54 , -   
2/11/1987, 525.26 , 525.26 , 525.26 , 525.26 , 525.13 , -   
2/12/1987, 521.25 , 521.25 , 521.25 , 521.25 , 521.12 , -   
2/13/1987, 518.01 , 518.01 , 518.01 , 518.01 , 517.88 , -   
2/16/1987, 515.44 , 515.44 , 515.44 , 515.44 , 515.31 , -   
2/17/1987, 511.95 , 511.95 , 511.95 , 511.95 , 511.82 , -   
2/18/1987, 496.53 , 496.53 , 496.53 , 496.53 , 496.40 , -   
2/19/1987, 504.90 , 504.90 , 504.90 , 504.90 , 504.77 , -   
2/20/1987, 508.05 , 508.05 , 508.05 , 508.05 , 507.92 , -   
2/23/1987, 511.62 , 511.62 , 511.62 , 511.62 , 511.49 , -   
2/24/1987, 510.33 , 510.33 , 510.33 , 510.33 , 510.20 , -   
2/25/1987, 510.33 , 510.33 , 510.33 , 510.33 , 510.20 , -   
2/26/1987, 510.63 , 510.63 , 510.63 , 510.63 , 510.50 , -   
2/27/1987, 513.97 , 513.97 , 513.97 , 513.97 , 513.84 , -   
3/2/1987, 500.33 , 500.33 , 500.33 , 500.33 , 500.20 , -   
3/3/1987, 496.25 , 496.25 , 496.25 , 496.25 , 496.12 , -   
3/4/1987, 493.66 , 493.66 , 493.66 , 493.66 , 493.53 , -   
3/5/1987, 476.73 , 476.73 , 476.73 , 476.73 , 476.61 , -   
3/6/1987, 469.45 , 469.45 , 469.45 , 469.45 , 469.33 , -   
3/9/1987, 467.21 , 467.21 , 467.21 , 467.21 , 467.09 , -   
3/10/1987, 448.72 , 448.72 , 448.72 , 448.72 , 448.60 , -   
3/11/1987, 455.66 , 455.66 , 455.66 , 455.66 , 455.54 , -   
3/12/1987, 455.62 , 455.62 , 455.62 , 455.62 , 455.50 , -   
3/13/1987, 469.66 , 469.66 , 469.66 , 469.66 , 469.54 , -   
3/16/1987, 461.24 , 461.24 , 461.24 , 461.24 , 461.12 , -   
3/17/1987, 458.48 , 458.48 , 458.48 , 458.48 , 458.36 , -   
3/18/1987, 455.27 , 455.27 , 455.27 , 455.27 , 455.15 , -   
3/19/1987, 450.13 , 450.13 , 450.13 , 450.13 , 450.01 , -   
3/20/1987, 447.03 , 447.03 , 447.03 , 447.03 , 446.92 , -   
3/23/1987, 451.31 , 451.31 , 451.31 , 451.31 , 451.19 , -   
